V1,V2,V3,V4,V5,V7,V8,V9,V10,PID,psid,K2,project,gc,term,Q_TotalDuration,med,consent,suburb,tap,p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,hardship,contact,trap,t01,t02,t03,t04,t05,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13
R_0HATfOTLsRhgVNz,Default Response Set,Anonymous,NA,NA,0,2015-03-19 10:57:17,2015-03-19 11:03:52,1,1277779188,iZXUO4qzTRTT7btEOd_ciA**,27197,Qual712-0618WaterUtilities,1,NA,395,19205021168443,1,3,1,1,1,6,7,7,1,4,5,7,4,4,1,1,7,5,7,2,6,6,7,7,5,4,6,6,6,3,7,7,4,6
R_cDch7oqbD7LXred,Default Response Set,Anonymous,NA,NA,0,2015-03-19 11:04:39,2015-03-19 11:05:15,1,1277585426,iZXUO4qzTRQS3FKCHwbbng**,27197,Qual712-0618WaterUtilities,2,noTapWater,36,NA,1,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_b26EKYQOcZlLpE9,Default Response Set,Anonymous,NA,NA,0,2015-03-19 10:53:49,2015-03-19 11:05:25,1,1277803749,iZXUO4qzTRTa8Zr4O0xpLw**,27197,Qual712-0618WaterUtilities,1,NA,696,19205390320273,1,3,1,1,4,7,7,7,4,4,4,4,4,1,1,1,6,3,3,2,6,4,4,4,4,4,4,4,4,2,4,6,6,5
R_cZIQpU7FgmTi5j7,Default Response Set,Anonymous,NA,NA,0,2015-03-19 11:01:38,2015-03-19 11:06:38,1,1225803830,iZXUO4qzTRT7gvKM1K6GKw**,27197,Qual712-0618WaterUtilities,1,NA,300,18423831537703,1,3,1,1,2,7,7,7,5,4,2,2,2,5,4,1,7,6,6,6,6,6,6,6,6,6,5,5,6,6,6,6,6,6
R_a3jRbInJYQ2zVL7,Default Response Set,Anonymous,NA,NA,0,2015-03-19 11:04:55,2015-03-19 11:07:24,1,1227137091,iZXUO4qzTRT1MuNWWs1cKg**,27197,Qual712-0618WaterUtilities,1,NA,149,18443870450533,1,1,1,1,2,3,5,7,1,7,6,7,6,1,1,1,7,1,1,2,6,4,6,4,6,4,4,4,4,4,4,4,4,4
R_6hEXx2XbHjUnSMR,Default Response Set,Anonymous,NA,NA,0,2015-03-19 11:05:33,2015-03-19 11:09:37,1,1131970018,iZXUO4qzTRQGPXmHubv4YA**,27197,Qual712-0618WaterUtilities,1,NA,244,17013509343343,1,2,1,6,2,6,6,7,5,4,4,4,3,2,1,1,6,7,5,5,6,6,6,6,7,6,6,4,4,4,5,6,6,6
R_3eBogT0x2etSon3,Default Response Set,Anonymous,NA,NA,0,2015-03-19 11:07:22,2015-03-19 11:10:55,1,1268877755,iZXUO4qzTRSI_CpG0XxrYA**,27197,Qual712-0618WaterUtilities,2,attention,213,NA,1,1,1,1,1,7,7,7,7,1,1,1,1,2,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_5dWpjXNxfz6naM5,Default Response Set,Anonymous,NA,NA,0,2015-03-19 11:11:55,2015-03-19 11:12:13,1,1278136387,iZXUO4qzTRSPQdQFDSg2Fw**,27197,Qual712-0618WaterUtilities,2,otherCity,18,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_dj34KrmHiqlR6fP,Default Response Set,Anonymous,NA,NA,0,2015-03-19 11:11:06,2015-03-19 11:13:52,1,1106325590,iZXUO4qzTRSKN-Tyj0Se7A**,27197,Qual712-0618WaterUtilities,1,NA,166,16628073590503,1,2,1,1,2,6,5,7,5,4,3,4,3,1,2,1,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6
R_4SeH9onzVJdReEB,Default Response Set,Anonymous,NA,NA,0,2015-03-19 11:12:07,2015-03-19 11:14:24,1,1277801615,iZXUO4qzTRSho7QttrJ1yA**,27197,Qual712-0618WaterUtilities,1,NA,137,19205358246253,1,3,1,3,3,5,5,6,6,6,4,4,5,1,1,1,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4
R_5asP3dL6Haug7Xf,Default Response Set,Anonymous,NA,NA,0,2015-03-19 11:11:57,2015-03-19 11:14:36,1,1277810277,iZXUO4qzTRRlvWEvluj3ng**,27197,Qual712-0618WaterUtilities,1,NA,159,19205488436113,1,1,1,1,1,7,7,7,4,4,4,4,4,1,1,1,6,7,7,7,7,6,7,4,5,4,4,7,5,1,4,6,7,5
R_e9E4TysuSTONd3L,Default Response Set,Anonymous,NA,NA,0,2015-03-19 11:10:50,2015-03-19 11:14:57,1,1277381915,iZXUO4qzTRSfCC0RrW-NWQ**,27197,Qual712-0618WaterUtilities,1,NA,247,19199050155253,1,3,1,1,1,7,7,7,7,1,1,1,1,7,1,1,4,4,3,1,4,3,6,1,5,5,4,2,1,1,3,3,7,1
R_1zzLJUSDGm0fjy5,Default Response Set,Anonymous,NA,NA,0,2015-03-19 11:14:26,2015-03-19 11:16:22,1,1270597283,iZXUO4qzTRQeY3wJQ5QjlQ**,27197,Qual712-0618WaterUtilities,2,attention,116,NA,1,2,1,3,3,4,5,5,5,4,3,4,4,2,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_eWZxDEAEt3lrN0V,Default Response Set,Anonymous,NA,NA,0,2015-03-19 11:12:40,2015-03-19 11:17:06,1,1239213281,iZXUO4qzTRRCluVVbHsuSw**,27197,Qual712-0618WaterUtilities,1,NA,266,18625375586233,1,2,1,1,1,4,7,6,4,4,1,4,4,3,2,1,6,6,6,6,6,4,6,4,6,4,6,4,4,4,4,4,4,4
R_e5ImKcV1jwon9FX,Default Response Set,Anonymous,NA,NA,0,2015-03-19 11:16:00,2015-03-19 11:18:51,1,1263471747,iZXUO4qzTRSWntk-i9yeAw**,27197,Qual712-0618WaterUtilities,2,attention,171,NA,1,3,1,1,2,7,7,7,3,5,5,5,5,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_cOTIGk4JF9Obknb,Default Response Set,Anonymous,NA,NA,0,2015-03-19 11:18:47,2015-03-19 11:23:12,1,1277775317,iZXUO4qzTRSGJvvcNRVOYw**,27197,Qual712-0618WaterUtilities,1,NA,265,19204962987313,1,3,1,1,1,5,7,7,4,2,3,3,3,5,1,1,7,7,7,7,7,3,7,5,5,6,6,6,4,5,5,1,6,5
R_3QKHwYE3xJvVBit,Default Response Set,Anonymous,NA,NA,0,2015-03-19 11:23:40,2015-03-19 11:24:54,1,1275549105,iZXUO4qzTRR9WFWj_dhgoA**,27197,Qual712-0618WaterUtilities,2,attention,74,NA,1,2,1,4,4,4,5,4,4,4,4,4,4,4,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_79bMoEssk6M2NTf,Default Response Set,Anonymous,NA,NA,0,2015-03-19 11:22:34,2015-03-19 11:25:30,1,1264892691,iZXUO4qzTRRS7TGl3a-11g**,27197,Qual712-0618WaterUtilities,1,NA,176,19011337118533,1,3,1,1,1,7,7,7,5,5,1,3,1,1,1,1,7,6,6,3,6,4,6,4,5,4,6,4,4,4,4,6,4,6
R_74BPunTWKeeDTgN,Default Response Set,Anonymous,NA,NA,0,2015-03-19 11:26:15,2015-03-19 11:26:33,1,1274902997,iZXUO4qzTRRF-JWaZFMakg**,27197,Qual712-0618WaterUtilities,2,noTapWater,18,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_38e51doHDPLBNg9,Default Response Set,Anonymous,NA,NA,0,2015-03-19 11:22:15,2015-03-19 11:27:10,1,1147200022,iZXUO4qzTRTJzpoXs-BU5A**,27197,Qual712-0618WaterUtilities,1,NA,295,17242416303463,1,1,1,3,3,5,5,5,5,5,3,4,3,5,2,1,4,3,3,3,4,3,4,5,4,5,4,5,5,4,4,4,4,4
R_8bGxjxxzJlpevU9,Default Response Set,Anonymous,NA,NA,0,2015-03-19 11:29:33,2015-03-19 11:30:16,1,1261512913,iZXUO4qzTRSvmuqOE0ng5w**,27197,Qual712-0618WaterUtilities,2,attention,43,NA,1,1,1,3,3,4,5,6,5,4,3,6,6,6,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_8ewrRLwB6Q58F8N,Default Response Set,Anonymous,NA,NA,0,2015-03-19 11:25:40,2015-03-19 11:32:53,1,1277749695,iZXUO4qzTRQ6rO_9bop4Bw**,27197,Qual712-0618WaterUtilities,1,NA,433,19204577888653,1,3,1,4,4,4,4,4,7,7,7,7,7,1,1,1,7,7,3,5,6,4,6,4,6,4,4,4,4,3,4,4,4,4
R_0cCtfey5CeJz5KB,Default Response Set,Anonymous,NA,NA,0,2015-03-19 11:29:15,2015-03-19 11:33:36,1,1132068586,iZXUO4qzTRRTYN-yjo7lnw**,27197,Qual712-0618WaterUtilities,1,NA,261,17014990820383,1,3,1,1,1,6,7,7,6,3,1,4,2,4,1,1,5,4,5,4,5,4,4,4,4,4,4,4,4,4,3,4,4,4
R_6hd0bq8iUWPp3xz,Default Response Set,Anonymous,NA,NA,0,2015-03-19 11:30:44,2015-03-19 11:33:59,1,1277748655,iZXUO4qzTRTmB3T_ATjt1A**,27197,Qual712-0618WaterUtilities,1,NA,195,19204562257453,1,2,1,1,1,7,7,7,1,7,4,7,7,1,1,1,7,6,5,5,7,4,4,4,4,4,7,4,4,4,4,2,4,5
R_5vVgNWISywAIb3f,Default Response Set,Anonymous,NA,NA,0,2015-03-19 11:18:52,2015-03-19 11:34:12,1,1208500211,iZXUO4qzTRRrwPHi1ETl_Q**,27197,Qual712-0618WaterUtilities,2,otherCity,920,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_etznzXrQnSaekfP,Default Response Set,Anonymous,NA,NA,0,2015-03-19 11:33:52,2015-03-19 11:37:49,1,1277896981,iZXUO4qzTRTpww_8NXkjZA**,27197,Qual712-0618WaterUtilities,1,NA,237,19206791597233,1,1,1,1,2,7,7,7,4,3,2,4,3,2,3,1,6,2,6,1,5,6,5,5,4,4,4,4,4,4,4,5,4,4
R_0poZyWeMfeeWvnT,Default Response Set,Anonymous,NA,NA,0,2015-03-19 11:34:44,2015-03-19 11:38:52,1,1275903842,iZXUO4qzTRQQCOGRg8xlfQ**,27197,Qual712-0618WaterUtilities,1,NA,248,19176834718063,1,2,1,2,3,6,6,6,5,5,4,5,4,4,2,1,4,4,5,4,5,5,5,4,4,5,4,5,5,4,5,5,5,5
R_25GtvKPYWO3FGHr,Default Response Set,Anonymous,NA,NA,0,2015-03-19 11:34:24,2015-03-19 11:39:34,1,1278619838,iZXUO4qzTRSB4osGhPESgg**,27197,Qual712-0618WaterUtilities,1,NA,310,19217656137943,1,3,1,4,2,7,7,6,6,3,2,6,2,4,1,1,6,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4
R_1LeL2NL3WGW3wr3,Default Response Set,Anonymous,NA,NA,0,2015-03-19 11:37:00,2015-03-19 11:40:30,1,1122088849,iZXUO4qzTRSZsZ_Lx0ofcg**,27197,Qual712-0618WaterUtilities,1,NA,210,16864995373273,1,3,1,2,2,6,6,7,5,6,3,5,3,5,2,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
R_3sA06WfobWKkce1,Default Response Set,Anonymous,NA,NA,0,2015-03-19 11:42:24,2015-03-19 11:43:19,1,1259689272,iZXUO4qzTRTKfJen2KVWFw**,27197,Qual712-0618WaterUtilities,2,otherCity,55,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_3Wq4VAEnc53RYsR,Default Response Set,Anonymous,NA,NA,0,2015-03-19 11:40:41,2015-03-19 11:43:40,1,1278121650,iZXUO4qzTRTfDEjnCzlW4w**,27197,Qual712-0618WaterUtilities,1,NA,179,19210168372303,1,3,1,1,1,7,7,7,1,7,1,7,7,1,1,1,7,7,7,7,7,4,7,4,7,4,7,4,4,4,4,4,4,4
R_8AM9n59q9tqC8Sh,Default Response Set,Anonymous,NA,NA,0,2015-03-19 11:43:35,2015-03-19 11:46:34,1,1079284153,iZXUO4qzTRQY2X3UB-5RXQ**,27197,Qual712-0618WaterUtilities,1,NA,179,16221640792393,1,1,1,3,3,5,4,6,4,4,6,4,4,1,2,1,5,3,3,2,4,4,5,5,5,5,5,5,5,4,5,5,5,5
R_8IhnBAnY7QHWFDv,Default Response Set,Anonymous,NA,NA,0,2015-03-19 11:42:12,2015-03-19 11:46:36,1,1272822225,iZXUO4qzTRSRmmAHjsbhSg**,27197,Qual712-0618WaterUtilities,2,attention,264,NA,1,2,1,5,3,5,6,6,4,5,7,7,6,2,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_3rX7Coar9Wlclzn,Default Response Set,Anonymous,NA,NA,0,2015-03-19 11:44:27,2015-03-19 11:46:46,1,1272654704,iZXUO4qzTRSL6eMPH00uuw**,27197,Qual712-0618WaterUtilities,1,NA,139,19128000173923,1,1,1,1,1,7,7,7,7,1,1,1,1,6,5,1,5,6,6,6,7,6,5,6,5,6,5,7,6,7,5,7,6,6
R_cA4RgqQ1RzOzLtH,Default Response Set,Anonymous,NA,NA,0,2015-03-19 11:40:43,2015-03-19 11:46:56,1,1278447237,iZXUO4qzTRS8ZxppetYgWg**,27197,Qual712-0618WaterUtilities,1,NA,373,19215061944913,1,3,1,1,1,6,7,7,6,3,1,3,3,4,2,1,7,5,7,7,6,5,7,4,7,6,7,4,6,4,4,5,4,5
R_0qa53p1OyucJCzH,Default Response Set,Anonymous,NA,NA,0,2015-03-19 11:52:32,2015-03-19 11:52:54,1,1079333565,iZXUO4qzTRTQFnG9u7lbEw**,27197,Qual712-0618WaterUtilities,2,otherCity,22,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_2c9okGA72RUiJCt,Default Response Set,Anonymous,NA,NA,0,2015-03-19 11:47:12,2015-03-19 11:53:14,1,1239212014,iZXUO4qzTRQ7ir4fV6-TgQ**,27197,Qual712-0618WaterUtilities,1,NA,362,18625356543223,1,2,1,1,1,5,7,6,1,7,6,4,3,2,1,1,7,7,7,6,6,6,7,4,6,4,6,4,4,6,4,6,4,6
R_ekUEMU2KuIPEuZD,Default Response Set,Anonymous,NA,NA,0,2015-03-19 11:47:12,2015-03-19 11:53:36,1,1132188890,iZXUO4qzTRRPQ4TllB0Stg**,27197,Qual712-0618WaterUtilities,1,NA,384,17016798989503,1,3,1,1,2,4,7,7,3,6,4,6,7,1,1,1,7,7,7,3,7,6,6,5,6,5,6,4,4,5,4,6,4,6
R_cvRQHOL8lnK2s73,Default Response Set,Anonymous,NA,NA,0,2015-03-19 11:54:29,2015-03-19 11:55:38,1,1278623645,iZXUO4qzTRQoM1dA4FNYYQ**,27197,Qual712-0618WaterUtilities,2,attention,69,NA,1,3,1,4,4,4,4,3,2,6,4,4,4,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_cO99adLOWnaxJqt,Default Response Set,Anonymous,NA,NA,0,2015-03-19 11:52:46,2015-03-19 11:56:49,1,1094146291,iZXUO4qzTRRHAZ0EW6KPNw**,27197,Qual712-0618WaterUtilities,1,NA,243,16445018726533,1,2,1,1,1,7,7,7,3,5,3,4,5,1,1,1,6,6,7,4,7,4,3,1,5,5,3,2,3,1,2,4,4,3
R_doFlIeEEh5kdO8B,Default Response Set,Anonymous,NA,NA,0,2015-03-19 11:52:07,2015-03-19 11:57:38,1,1257271636,iZXUO4qzTRRg_gM0LQIYTQ**,27197,Qual712-0618WaterUtilities,1,NA,331,18896792661883,1,2,1,3,3,5,6,6,2,6,4,5,6,1,1,1,7,7,6,6,7,6,6,5,7,4,6,4,4,5,4,6,4,6
R_bNiWi08baRDwsxn,Default Response Set,Anonymous,NA,NA,0,2015-03-19 11:55:01,2015-03-19 11:58:38,1,1131922480,iZXUO4qzTRTlqnwTlCJ6wg**,27197,Qual712-0618WaterUtilities,1,NA,217,17012794847203,1,1,1,1,1,7,7,7,3,5,4,5,2,3,3,1,6,6,6,5,6,6,6,7,6,6,6,6,6,6,6,6,6,7
R_aVpnVG7crUWij53,Default Response Set,Anonymous,NA,NA,0,2015-03-19 11:57:22,2015-03-19 11:59:02,1,1171323284,iZXUO4qzTRQC2GK7re5LYg**,27197,Qual712-0618WaterUtilities,2,otherCity,100,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_883iKbHSZJKdxvT,Default Response Set,Anonymous,NA,NA,0,2015-03-19 11:58:23,2015-03-19 12:00:54,1,1079500637,iZXUO4qzTRTS92_gWxe-nA**,27197,Qual712-0618WaterUtilities,1,NA,151,16224894546913,1,1,1,1,1,7,7,7,7,1,1,1,1,1,2,1,6,7,7,6,7,7,6,6,7,6,7,7,6,6,7,7,7,7
R_dj7RrBjRCiRQRRX,Default Response Set,Anonymous,NA,NA,0,2015-03-19 12:01:31,2015-03-19 12:03:10,1,1277220985,iZXUO4qzTRRQvDiJgL_ewA**,27197,Qual712-0618WaterUtilities,2,attention,99,NA,1,3,1,1,4,6,7,7,3,4,4,6,4,2,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_1LaxLuhGutJxH8h,Default Response Set,Anonymous,NA,NA,0,2015-03-19 11:58:50,2015-03-19 12:03:19,1,1270749194,iZXUO4qzTRQhg4JXsqJabg**,27197,Qual712-0618WaterUtilities,1,NA,269,19099360358623,1,3,1,7,7,6,7,7,4,4,4,4,4,4,1,1,6,4,5,5,6,6,5,5,5,5,6,6,4,4,4,4,5,5
R_6PSmOPeqF39NUiN,Default Response Set,Anonymous,NA,NA,0,2015-03-19 11:47:15,2015-03-19 12:04:49,1,1277442119,iZXUO4qzTRSTlFSudySrFw**,27197,Qual712-0618WaterUtilities,2,noTapWater,1054,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_3gWiAsPKh43yyRn,Default Response Set,Anonymous,NA,NA,0,2015-03-19 12:02:12,2015-03-19 12:05:04,1,1145446160,iZXUO4qzTRQVRmGEqTrcOA**,27197,Qual712-0618WaterUtilities,2,attention,172,NA,1,1,1,6,6,7,5,4,5,5,6,5,6,5,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_07EgnfFFsNEQyTX,Default Response Set,Anonymous,NA,NA,0,2015-03-19 12:01:57,2015-03-19 12:05:11,1,1277600076,iZXUO4qzTRQtTcJv6dv9gQ**,27197,Qual712-0618WaterUtilities,1,NA,194,19202329115083,1,1,1,1,4,4,7,7,4,4,4,4,4,1,2,1,7,4,6,4,6,6,7,7,7,5,7,6,6,4,7,7,6,6
R_eKSIzX8Lt7ctUvX,Default Response Set,Anonymous,NA,NA,0,2015-03-19 12:01:05,2015-03-19 12:06:58,1,1217867680,iZXUO4qzTRSVwDigia3iOA**,27197,Qual712-0618WaterUtilities,1,NA,353,18304551203203,1,2,1,1,1,5,7,7,4,4,3,4,3,1,1,1,7,5,4,5,7,5,4,4,4,4,4,4,4,3,3,5,4,4
R_eW3rvij6gdyHjIV,Default Response Set,Anonymous,NA,NA,0,2015-03-19 12:05:38,2015-03-19 12:08:57,1,1277956227,iZXUO4qzTRTDcaLygULSWw**,27197,Qual712-0618WaterUtilities,1,NA,199,19207682064613,1,3,1,2,2,6,7,7,2,4,4,4,4,1,1,1,7,6,2,6,7,6,5,5,6,6,5,4,4,5,4,6,4,6
R_bfLarFi5E7nXQON,Default Response Set,Anonymous,NA,NA,0,2015-03-19 12:09:06,2015-03-19 12:12:11,1,1263909017,iZXUO4qzTRRdkspaxPFQqg**,27197,Qual712-0618WaterUtilities,1,NA,185,18996552498313,1,3,1,3,4,4,4,5,2,5,5,5,3,1,1,1,6,3,3,4,4,4,6,4,6,4,7,4,4,4,4,4,4,4
R_3vDrjvJH4H9mZTf,Default Response Set,Anonymous,NA,NA,0,2015-03-19 12:12:54,2015-03-19 12:14:29,1,1132043333,iZXUO4qzTRSjvv2Bz39yjg**,27197,Qual712-0618WaterUtilities,1,NA,95,17014611267793,1,1,1,4,3,4,7,7,4,5,4,4,5,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
R_doFIyp2CqFV6RQF,Default Response Set,Anonymous,NA,NA,0,2015-03-19 12:12:56,2015-03-19 12:16:07,1,1259928945,iZXUO4qzTRTGbMq4LYguKA**,27197,Qual712-0618WaterUtilities,2,attention,191,NA,1,1,1,1,1,7,7,7,7,3,1,1,1,4,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_3UXY7yLMzaGjZbL,Default Response Set,Anonymous,NA,NA,0,2015-03-19 12:12:27,2015-03-19 12:17:26,1,1264167897,iZXUO4qzTRQqJP1lCT-Wvw**,27197,Qual712-0618WaterUtilities,1,NA,299,19000443464713,1,3,1,6,6,3,3,4,4,5,6,6,5,4,4,1,6,4,5,4,5,4,5,5,5,5,4,5,5,4,5,4,5,5
R_0ugHRTHZy8dZZPv,Default Response Set,Anonymous,NA,NA,0,2015-03-19 12:09:21,2015-03-19 12:17:29,1,1277207653,iZXUO4qzTRTkBu2ptQbWvA**,27197,Qual712-0618WaterUtilities,1,NA,488,19196430997393,1,1,1,1,3,5,5,7,3,4,2,7,6,7,2,1,7,3,7,7,6,7,5,3,3,3,4,2,5,4,4,2,4,2
R_0kWq77T2S7VZEH3,Default Response Set,Anonymous,NA,NA,0,2015-03-19 12:16:45,2015-03-19 12:19:15,1,1277812660,iZXUO4qzTRQO4-X7FExoFA**,27197,Qual712-0618WaterUtilities,1,NA,150,19205524252603,1,3,1,1,1,7,7,7,3,4,3,4,2,1,3,1,6,6,5,4,5,3,5,4,4,4,4,4,4,4,4,5,4,4
R_81ZbH4kTjeiomWh,Default Response Set,Anonymous,NA,NA,0,2015-03-19 12:20:26,2015-03-19 12:21:06,1,1278626373,iZXUO4qzTRS1Jh8a-1Mnfg**,27197,Qual712-0618WaterUtilities,2,noTapWater,40,NA,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_1XQRpc7162LNjbT,Default Response Set,Anonymous,NA,NA,0,2015-03-19 12:19:11,2015-03-19 12:22:08,1,1278624733,iZXUO4qzTRS3epHOBG-27Q**,27197,Qual712-0618WaterUtilities,1,NA,177,19217729709793,1,3,1,1,1,7,6,7,6,2,1,3,2,1,1,1,7,6,6,5,6,4,4,4,4,4,4,4,4,5,4,4,4,4
R_81idW0XTr5iadjn,Default Response Set,Anonymous,NA,NA,0,2015-03-19 12:17:29,2015-03-19 12:22:12,1,1208696187,iZXUO4qzTRT1P1HH4NveLg**,27197,Qual712-0618WaterUtilities,1,NA,283,18166703663413,1,2,1,3,4,4,6,7,3,6,4,5,4,1,2,1,7,6,5,4,4,7,7,4,7,4,6,4,4,4,4,5,4,4
R_3auBw1ap2UDwzOZ,Default Response Set,Anonymous,NA,NA,0,2015-03-19 12:22:42,2015-03-19 12:24:02,1,1159494737,iZXUO4qzTRQFZMm308UdhQ**,27197,Qual712-0618WaterUtilities,1,NA,80,17427205869913,1,2,1,3,4,6,5,6,5,2,4,4,4,7,7,1,7,7,6,7,7,6,4,5,4,6,4,5,7,7,4,6,7,4
R_e5TVvQY9xjZ0wYt,Default Response Set,Anonymous,NA,NA,0,2015-03-19 12:23:25,2015-03-19 12:26:01,1,1257077880,iZXUO4qzTRTNqs1ciZYTZA**,27197,Qual712-0618WaterUtilities,1,NA,156,18893880509203,1,3,1,1,1,5,7,7,2,7,3,6,7,1,1,1,6,6,6,6,5,6,6,5,6,4,6,4,4,4,4,4,4,4
R_cIVv9beQAinC6dn,Default Response Set,Anonymous,NA,NA,0,2015-03-19 12:26:05,2015-03-19 12:29:11,1,1131893817,iZXUO4qzTRRan9ychZUBFg**,27197,Qual712-0618WaterUtilities,1,NA,186,17012364042313,1,2,1,1,2,7,7,7,5,4,3,4,2,1,1,1,6,6,6,6,6,6,6,6,6,6,6,4,4,6,6,6,4,6
R_afw0MscEL33v6HX,Default Response Set,Anonymous,NA,NA,0,2015-03-19 12:26:11,2015-03-19 12:29:33,1,1273002135,iZXUO4qzTRRrQPXq5hsBYQ**,27197,Qual712-0618WaterUtilities,1,NA,202,19133222061853,1,2,1,2,2,5,5,6,6,4,2,4,2,1,3,1,6,6,6,4,5,5,5,5,5,5,5,5,5,6,5,5,6,6
R_aaFd8bTbcjZE1Yp,Default Response Set,Anonymous,NA,NA,0,2015-03-19 12:29:40,2015-03-19 12:29:54,1,1275602308,iZXUO4qzTRSnW6mL6Y2ddw**,27197,Qual712-0618WaterUtilities,2,otherCity,14,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_0ct32QPtXB7sOKV,Default Response Set,Anonymous,NA,NA,0,2015-03-19 12:27:12,2015-03-19 12:30:13,1,1183222126,iZXUO4qzTRSqg_1PveLjog**,27197,Qual712-0618WaterUtilities,1,NA,181,17783828526583,1,3,1,1,1,7,7,7,7,1,2,1,2,4,1,1,7,5,7,6,5,5,7,5,7,5,7,6,6,6,6,5,5,6
R_1SadjTD4EjTupo1,Default Response Set,Anonymous,NA,NA,0,2015-03-19 12:30:16,2015-03-19 12:30:29,1,1269388846,iZXUO4qzTRSikAtnZAOKZg**,27197,Qual712-0618WaterUtilities,2,otherCity,13,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_6tJwFiIhEBdLfVj,Default Response Set,Anonymous,NA,NA,0,2015-03-19 12:19:39,2015-03-19 12:31:59,1,1131901445,iZXUO4qzTRR5GQibWWLwuA**,27197,Qual712-0618WaterUtilities,1,NA,740,17012478691153,1,2,1,2,4,5,6,6,1,7,6,6,5,5,1,1,6,2,1,1,4,3,6,5,6,4,6,4,3,4,5,5,5,3
