V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,consent,marketing,engineer,department,e1,e2,e3,e4,e5,e6,e7,e8,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10
R_R2gyhkhUSPO6HXX,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 11:23:44,2015-05-08 11:38:22,1,1,0,0,3,6,4,1,3,3,1,6,1,4,4,1,2,3,5,5,3,1,4,2,5,6,6,6,6,6,5,5,6,6,6
R_3HUKA7OHgXQxQ4D,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 11:33:51,2015-05-08 11:39:20,1,1,0,0,2,2,5,2,5,2,2,7,1,2,3,2,2,2,2,3,2,3,2,2,2,6,6,6,6,6,2,2,2,2,2
R_2QKfCI6KlTsMRrn,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 11:37:27,2015-05-08 11:41:42,1,1,0,1,3,2,2,1,5,3,2,6,2,4,2,2,1,2,2,2,6,6,2,3,3,5,7,6,6,6,4,6,6,6,6
R_3MihQS7TFS2c50N,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 11:12:16,2015-05-08 11:42:25,1,1,1,0,2,2,5,4,6,5,2,5,2,1,1,1,2,2,1,2,5,3,2,5,1,5,5,6,5,6,2,2,2,2,3
R_9tnHNJIkKjfSsqB,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 11:32:07,2015-05-08 11:43:11,1,1,0,0,1,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_1jE59eKrJ5plv59,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 11:14:24,2015-05-08 11:48:33,1,1,0,1,3,2,5,2,5,5,1,7,2,2,2,2,1,5,2,2,1,2,2,2,2,5,7,6,6,5,5,5,5,5,2
R_2sT5MQnBFbMQG20,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 11:57:52,2015-05-08 12:01:53,1,1,0,1,1,5,5,1,2,2,2,6,1,1,1,1,1,5,7,7,6,5,2,2,2,6,6,7,6,6,5,5,5,5,6
R_2wGGkZDYUF6Auso,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 12:00:01,2015-05-08 12:03:48,1,1,1,0,1,2,2,1,1,1,2,6,2,2,2,1,1,5,6,3,5,6,2,2,2,7,6,6,6,6,6,5,6,7,6
R_3oYpzcveIHbBJPx,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 12:01:35,2015-05-08 12:07:37,1,1,0,0,1,3,3,1,1,3,1,6,1,1,1,1,1,3,3,3,5,3,1,4,2,7,7,7,7,7,6,4,6,6,6
R_3rHAPsgWuW2MkY2,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 11:48:18,2015-05-08 12:09:47,1,1,0,0,2,1,6,4,7,5,1,7,1,1,1,1,1,7,1,3,4,5,1,6,1,6,7,7,6,7,5,5,5,2,7
R_3IQNAWlvCvIML9K,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 12:33:31,2015-05-08 12:38:17,1,1,1,0,3,2,6,2,2,2,5,7,1,2,2,1,1,1,1,2,2,1,1,2,3,3,5,5,5,6,2,3,2,3,4
R_3qkCHCFaTbCnS2c,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 12:38:48,2015-05-08 12:42:46,1,1,0,0,2,3,6,2,3,5,1,7,2,1,1,1,1,2,1,1,1,5,1,1,1,7,7,7,7,7,4,3,5,5,2
R_3DqBfCRreC049Tk,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 12:50:20,2015-05-08 12:54:26,1,1,0,0,3,3,6,3,5,7,2,7,1,2,3,2,2,2,2,3,5,5,2,4,3,3,6,5,7,6,3,2,2,3,6
R_1iqWKRPLssup7WU,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 13:11:38,2015-05-08 13:27:06,1,1,0,0,1,6,4,2,2,2,3,6,4,1,3,1,3,6,6,3,6,6,4,5,5,6,6,6,6,5,5,3,5,5,6
R_1IKHWuvFMw6GOqm,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 13:47:28,2015-05-08 13:52:37,1,1,0,0,3,3,3,3,3,6,6,6,7,2,3,1,2,2,1,2,4,2,2,2,2,5,5,5,3,5,2,2,5,5,1
R_2a6xgYTU1DZ8tfX,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 13:51:10,2015-05-08 13:55:07,1,1,0,1,3,3,5,2,5,5,1,7,3,1,3,1,2,3,1,5,3,4,4,5,3,4,6,6,6,6,4,5,5,5,6
R_2rUYr2CEgClQEMe,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 13:40:50,2015-05-08 13:55:31,1,1,0,0,3,4,4,1,5,5,4,7,4,4,2,1,4,5,5,7,5,7,2,4,6,7,7,7,7,7,3,7,7,7,5
R_W2SwLAAn5214u5z,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 13:36:10,2015-05-08 13:57:48,1,1,0,0,1,3,2,1,3,3,2,6,3,1,4,2,2,4,4,3,6,5,3,3,4,6,5,6,6,6,3,5,6,6,5
R_2qw39xfRMC2ZexO,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 14:14:54,2015-05-08 14:20:32,1,1,0,1,3,2,5,1,1,2,2,7,1,2,1,1,3,2,2,2,6,7,2,1,2,2,7,5,7,7,2,2,3,6,7
R_1PaSbWyASWoZdpc,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 14:17:53,2015-05-08 14:20:36,1,1,1,1,1,1,6,4,6,6,4,7,2,1,4,1,1,1,1,4,4,2,4,2,3,6,6,6,6,6,4,5,5,4,5
R_2EdcYzO3wK8ikjV,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 14:08:10,2015-05-08 14:21:49,1,1,0,1,3,6,2,2,6,2,2,6,6,4,6,2,2,4,2,6,6,6,6,6,2,6,6,6,6,6,2,6,6,2,2
R_AI0rx0rNNXlJJKx,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 09:07:33,2015-05-08 14:27:32,1,1,0,0,2,2,5,2,3,2,4,6,2,1,2,1,1,6,5,3,5,5,2,5,5,6,7,6,7,7,4,6,6,6,5
R_svPzgnfH1LWdp7j,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 14:24:34,2015-05-08 14:29:28,1,1,0,1,3,5,2,2,5,2,2,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6,6,6,6,6,6,5,5
R_1LBCU2bwaH5Txs1,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 14:30:46,2015-05-08 14:37:43,1,1,0,0,2,2,2,2,2,2,2,6,1,2,3,2,2,2,2,2,6,6,2,3,6,6,6,6,6,6,6,6,6,6,5
R_yqAMFl3KZZIz3gd,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 14:25:41,2015-05-08 15:07:18,1,1,0,0,2,2,3,2,5,3,2,6,2,1,2,1,2,1,1,2,5,5,1,2,1,5,3,5,6,6,2,3,5,7,5
R_1FKYYMmSCeLhCUE,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 15:07:49,2015-05-08 15:13:38,1,1,0,0,3,1,4,2,2,5,2,6,1,1,1,1,1,7,2,4,6,7,2,1,5,7,5,7,6,5,4,2,3,5,6
R_3QSmdqLwTSjqVLc,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 15:10:55,2015-05-08 15:16:45,1,1,1,1,3,5,3,2,4,3,3,6,2,3,3,1,2,2,2,3,4,2,3,2,2,4,5,6,6,6,1,3,2,1,3
R_2YbHfC5Jn5VJE5J,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 15:31:55,2015-05-08 15:33:54,1,1,0,0,2,4,4,4,4,4,4,4,4,3,5,5,4,3,4,4,5,7,2,4,6,4,6,2,5,3,1,2,3,4,5
R_ZgAltXaAWc6MWPv,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 15:37:53,2015-05-08 15:44:49,1,1,0,0,3,1,6,1,5,5,1,7,1,2,4,1,1,1,2,1,6,5,1,1,2,7,7,7,7,7,1,1,2,1,5
R_2cefnvMz8aznKA6,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 15:46:40,2015-05-08 15:54:13,1,1,0,0,2,4,5,3,5,5,4,6,2,2,2,3,2,2,2,2,3,4,2,4,2,6,7,7,7,7,4,6,7,6,5
R_1liYef5KF8fLHvD,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 15:57:17,2015-05-08 16:02:31,1,1,0,1,3,2,2,2,2,2,1,7,1,1,1,1,1,4,5,2,6,6,2,1,4,6,6,7,7,6,5,6,5,6,7
R_2rSFJoVYu5kDET1,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 16:12:57,2015-05-08 16:18:18,1,1,0,0,3,4,4,2,2,2,4,7,2,1,1,1,1,1,1,1,1,6,1,5,1,5,7,7,7,7,3,7,2,5,6
R_1esKDWA5hLW9ejQ,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 16:34:31,2015-05-08 16:39:58,1,1,0,0,1,1,1,1,5,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,2,7,5,7,7
R_2tJuVkM0QQtHIky,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 15:30:50,2015-05-08 16:44:06,1,1,0,0,2,5,6,3,2,5,2,7,1,3,4,1,1,3,5,5,6,6,2,4,5,7,7,6,7,6,5,7,7,7,7
R_3iXd17mZ8lA3Oqy,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 17:28:17,2015-05-08 17:32:48,1,1,0,0,2,5,4,1,1,1,1,6,1,1,1,1,1,1,2,1,6,6,2,6,2,6,7,7,7,7,2,6,5,5,7
R_3el6gv0yKlTidlA,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 17:53:11,2015-05-08 18:07:14,1,1,1,1,1,4,1,1,2,1,2,7,4,2,2,1,1,3,2,2,3,6,1,3,1,7,6,6,7,6,4,4,2,6,7
R_3mlznNWOakTRJOX,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-09 10:09:46,2015-05-09 10:21:15,1,1,0,0,3,3,3,2,2,2,6,6,2,1,1,1,1,4,4,2,4,6,2,2,3,6,6,6,6,5,3,3,5,6,5
R_24BfnySiTQaHfkL,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-10 16:31:35,2015-05-10 16:36:48,1,1,0,0,1,3,3,1,4,3,3,7,1,3,4,1,1,3,5,3,3,5,2,2,3,5,5,5,6,6,2,2,1,1,2
R_3lEww4eZR1DJY9K,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-11 08:10:54,2015-05-11 08:16:28,1,1,0,1,3,2,1,6,4,2,2,6,2,5,5,2,3,6,6,3,5,6,2,5,3,6,4,4,6,4,4,5,5,4,4
R_AtfNBDHQqNBKPC1,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-11 08:14:38,2015-05-11 08:17:41,1,1,0,0,2,4,4,4,7,7,4,7,7,1,1,1,1,1,6,1,6,5,1,6,1,7,7,7,7,7,4,7,2,4,3
R_zcKa8ohMvnSy9gd,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-11 08:19:57,2015-05-11 08:29:28,1,1,0,0,1,4,2,1,1,3,3,5,4,1,2,1,2,5,3,3,6,6,5,4,3,6,6,6,7,6,4,4,6,5,4
R_3lXf6nrs1OxzRlP,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-11 08:26:47,2015-05-11 08:30:40,1,1,1,0,1,7,5,2,7,5,2,7,4,1,2,1,2,1,1,2,2,5,1,1,2,5,6,6,6,7,2,3,2,3,6
R_1FhM5iiRUpWvNOt,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-11 08:41:35,2015-05-11 08:52:12,1,1,0,1,3,5,2,3,6,4,4,5,5,5,5,4,4,4,3,3,4,6,3,6,5,6,4,5,5,4,3,3,4,5,5
R_3MicyDke5JzX6MQ,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-11 09:05:54,2015-05-11 09:09:47,1,1,0,1,3,4,2,1,3,3,2,5,4,5,2,2,1,3,2,4,6,3,4,3,5,6,6,6,7,4,4,3,3,5,3
R_1eEGXJiLwTrNhsV,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-11 09:33:42,2015-05-11 09:40:38,1,1,0,1,3,2,2,2,2,2,1,6,4,2,2,2,1,6,2,3,6,7,2,5,2,6,6,6,6,6,2,2,6,4,5
R_33wLBe8ZbWu9ozn,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-11 09:47:00,2015-05-11 09:50:54,1,1,0,0,3,6,2,2,3,3,1,7,1,1,2,1,1,2,4,5,2,5,2,2,3,6,6,6,6,6,2,5,4,6,6
R_pR6U5Fc0lTQkpZn,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-11 09:54:01,2015-05-11 09:58:35,1,1,0,1,3,5,5,4,6,5,2,5,6,2,5,2,5,5,4,6,6,6,6,6,6,6,6,6,6,6,4,4,5,4,6
R_wKMjYHR1pPyigcF,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-11 09:59:33,2015-05-11 10:09:09,1,1,1,0,3,1,2,1,5,5,2,7,1,1,3,1,1,3,3,2,2,5,1,2,3,7,7,7,7,7,2,2,6,6,6
R_3Eau2TZqVFRSEFi,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-11 10:23:17,2015-05-11 10:29:34,1,1,0,1,3,3,3,4,4,3,4,6,2,5,3,3,3,6,2,4,5,3,2,6,6,5,6,4,5,4,5,5,5,4,4
R_1labPvUt0VPF6S4,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-11 10:41:54,2015-05-11 10:57:22,1,1,0,1,3,7,2,1,4,2,2,6,6,1,3,2,5,4,3,5,5,3,2,7,3,5,7,7,6,7,4,3,5,3,5
R_Uo43UcxfTM4BuLf,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-11 11:19:21,2015-05-11 11:24:31,1,1,1,0,1,1,3,1,3,2,3,7,5,1,2,1,1,2,2,1,2,3,1,2,2,6,7,6,6,7,2,5,2,3,6
R_vuzyY9kRtrV3YPv,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-11 11:52:51,2015-05-11 11:59:09,1,1,0,0,2,2,4,1,3,2,1,7,4,1,1,1,1,5,2,2,3,5,2,1,3,6,6,6,7,7,5,5,5,5,3
R_3lt6ICpMp0Nbyun,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-11 08:24:33,2015-05-11 12:05:42,1,1,0,1,3,5,2,2,2,2,2,7,6,7,6,5,5,5,2,3,6,3,5,2,4,6,6,5,5,6,2,6,6,6,4
R_NWm8LVc1UkWbvqN,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-11 12:06:28,2015-05-11 12:12:36,1,1,1,0,2,3,6,3,6,5,4,7,2,2,4,2,3,6,5,3,6,6,2,3,5,6,6,6,6,5,2,5,6,3,6
R_3qwDUNZes5Sci8a,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-11 12:45:49,2015-05-11 12:50:13,1,1,0,0,1,5,3,2,2,2,2,5,2,2,2,2,2,2,2,3,5,2,2,2,2,5,6,6,6,6,2,2,5,3,5
R_DUe3l8l93fVXakF,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-11 10:50:48,2015-05-11 14:31:05,1,1,0,1,3,6,2,1,2,3,2,6,5,1,4,1,1,2,2,2,5,3,3,5,1,5,5,5,5,7,3,4,3,3,3
R_3QVQKes20GJ3MGk,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-11 14:34:04,2015-05-11 14:39:12,1,1,0,1,3,2,3,1,4,2,1,7,1,1,3,1,1,2,3,2,2,3,1,2,2,5,6,6,6,6,1,3,6,4,6
R_xhicgKuGrDg5g9r,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-11 14:51:08,2015-05-11 14:59:34,1,1,1,1,3,5,2,1,1,1,1,7,5,1,2,1,1,3,5,2,5,5,2,2,2,7,7,7,7,7,6,6,7,6,7
R_W0gnX0PBSO1nnfH,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-11 14:58:01,2015-05-11 15:04:42,1,1,0,0,1,4,4,4,4,4,2,6,4,2,2,2,2,3,5,2,2,4,2,2,2,4,6,4,4,6,6,4,5,5,6
R_32LLA9ZU0MKVTvQ,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-11 16:16:33,2015-05-11 16:22:21,1,1,0,1,1,3,4,2,5,5,2,6,4,1,2,2,3,3,3,3,3,5,2,2,2,6,6,6,5,6,3,5,5,5,6
R_yymc4ZkL1kmOAHT,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-12 08:46:51,2015-05-12 08:55:46,1,1,1,1,1,6,3,3,6,5,3,6,3,2,2,1,2,6,5,2,5,6,2,3,6,3,5,5,5,5,3,5,3,3,5
R_3D1SImffz5mtArl,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-12 09:19:08,2015-05-12 09:25:00,1,1,0,1,3,2,2,2,2,2,2,6,2,2,3,2,2,6,3,4,6,5,4,2,3,7,6,6,5,6,2,4,5,6,6
R_3kaz837XtnB88it,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-12 09:28:34,2015-05-12 09:47:33,1,1,1,1,3,5,2,2,5,2,5,7,5,4,1,2,1,1,1,2,2,3,2,3,2,6,7,6,6,6,2,2,4,5,4
R_1oeavVFXmWsuNJ4,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-12 12:41:08,2015-05-12 13:00:54,1,1,0,1,3,2,5,2,2,2,2,7,1,2,2,2,2,6,3,3,7,4,4,5,5,7,7,6,7,6,2,2,7,7,7
R_27OMXIJsfTzw2JE,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-12 13:02:54,2015-05-12 13:09:59,1,1,0,1,3,2,2,2,2,2,2,6,2,2,2,2,2,4,3,5,6,3,3,6,5,5,6,6,6,6,4,4,5,5,3
R_2UXFblg94S82XWv,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-12 15:15:15,2015-05-12 15:21:19,1,1,0,0,1,5,2,1,1,2,1,7,1,1,1,1,1,2,1,1,3,2,1,1,2,6,5,6,7,6,2,2,2,4,4
R_BV5gNmlju16rWsF,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-12 15:58:18,2015-05-12 16:10:12,1,1,0,0,3,4,6,1,6,3,3,7,1,2,1,1,5,4,7,1,6,2,1,2,1,6,7,5,5,6,1,2,2,1,6
R_3hsyyDSjUezAGR1,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-12 16:05:40,2015-05-12 16:10:30,1,1,0,0,2,4,3,2,2,2,2,6,2,2,2,2,2,2,2,2,6,2,2,2,4,6,6,6,6,6,4,5,6,6,3
R_eFqg1kOFn7YxXtT,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-12 17:52:16,2015-05-12 17:55:40,1,1,0,0,1,5,5,2,2,3,2,6,2,2,2,2,2,5,3,3,5,2,2,6,3,2,2,2,2,4,1,2,2,2,3
R_SQ8AqIlBlVGr4Ep,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-13 13:00:47,2015-05-13 13:29:40,1,1,0,0,2,5,5,3,5,4,4,3,3,2,3,2,2,5,2,2,4,5,3,3,2,6,6,5,6,6,4,5,6,5,5
R_TpERrdndlePrC5r,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-13 12:59:01,2015-05-13 13:40:25,1,1,0,1,3,6,4,2,3,3,1,7,4,2,2,1,1,4,4,5,6,7,2,5,4,4,4,4,5,5,4,2,4,3,2
R_2CjrLtT8VXZkELZ,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-14 14:14:20,2015-05-14 14:22:41,1,1,0,1,3,2,3,2,5,5,3,6,5,2,4,2,3,2,3,5,2,2,5,6,3,5,5,3,5,3,2,5,5,5,3
R_3lWALnM8eozdqzt,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-14 14:39:29,2015-05-14 14:45:19,1,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,4,3,2,3,2,1,2,5,5,2,3,2,6,6,6,7,4,3,4,6,6,3
R_3LjObkpffzlPmtn,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-14 16:19:13,2015-05-14 16:23:08,1,1,0,0,2,5,2,1,3,5,5,3,2,1,3,2,5,2,2,5,5,3,4,5,1,6,6,5,7,7,5,5,5,5,6
R_23fx6JeOn19aBoj,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 09:09:12,2015-05-08 09:10:59,0,1,0,1,1,3,5,1,5,5,2,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_RtofSOsDcvnV4Zz,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 09:14:01,2015-05-08 09:14:39,0,1,1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_C1PR8W88okjqiS5,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 09:15:09,2015-05-08 09:15:44,0,1,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_264Kkd9vprkDJAw,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 09:35:01,2015-05-08 09:35:31,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_z0F5HsAub1QWQCJ,Default Response Set,Anonymous,NA,NA,203.192.89.233,8,2015-05-08 09:36:29,2015-05-08 09:36:49,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_3lApF0GgHoMVSVJ,Default Response Set,Anonymous,NA,NA,203.192.89.233,8,2015-05-08 09:51:41,2015-05-08 09:52:07,0,1,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_eE6VFr3kJZe8Ce5,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 10:44:39,2015-05-08 10:45:07,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_uk5zQFX5sGlJUSB,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 11:16:35,2015-05-08 11:16:57,0,1,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_Y4H2EAog8gLYKmB,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 11:49:43,2015-05-08 11:50:24,0,1,0,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_Ut0a6bomBdyUPPr,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 11:55:48,2015-05-08 11:56:38,0,1,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_578qChn7bYobxVr,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 12:26:45,2015-05-08 12:28:39,0,1,1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_UXzqNirTOF5BUdP,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 13:37:51,2015-05-08 13:38:54,0,1,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_tLH6IIqOsJQktQR,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 14:20:22,2015-05-08 14:21:35,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_1pWIzYXOaLD1f0s,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 14:24:49,2015-05-08 14:25:12,0,1,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_3J7WTSg9I1z4pkL,Default Response Set,Anonymous,NA,NA,203.192.89.233,8,2015-05-08 14:36:10,2015-05-08 14:41:53,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_cGxWlAyyBLuOZrj,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-11 08:02:42,2015-05-11 08:03:02,0,1,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_Df0m7IQvNw0uBwt,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-11 09:14:07,2015-05-11 09:14:32,0,1,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_3dGSIqS4XHbteCu,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-11 09:28:11,2015-05-11 09:30:08,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_9B6H8fTOvorSddD,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-11 11:02:10,2015-05-11 11:02:44,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
