Sample_No,Date,Sample_Point,Town,Measure,Result,Units
684290,2069-04-18,WA_14286,Wakefield,Turbidity,0.1,NTU
651949,2069-04-18,SW_10733,Swadlincote,Turbidity,0.1,NTU
615168,2069-04-20,BL_10984,Blancathey,Chlorine Total,1.31,mg/L
691189,2069-04-20,BL_10984,Blancathey,E. coli,0,Orgs/100mL
600473,2069-04-20,BL_10984,Blancathey,Turbidity,0.1,NTU
666818,2069-04-24,WA_11283,Wakefield,Chlorine Total,1.5,mg/L
660188,2069-04-24,SN_11009,Snake's Canyon,Chlorine Total,1.03,mg/L
668029,2069-04-24,SO_17522,Southwold,Chlorine Total,0.79,mg/L
644133,2069-04-24,TA_16957,Tarnstead,Chlorine Total,0.17,mg/L
650693,2069-04-24,ME_12236,Merton,Chlorine Total,0.09,mg/L
629086,2069-04-24,SW_17048,Swadlincote,Chlorine Total,0.06,mg/L
614416,2069-04-24,SN_11009,Snake's Canyon,E. coli,0,Orgs/100mL
613585,2069-04-24,ME_12236,Merton,E. coli,0,Orgs/100mL
643002,2069-04-24,SO_17522,Southwold,E. coli,0,Orgs/100mL
636828,2069-04-24,WA_11283,Wakefield,E. coli,0,Orgs/100mL
612156,2069-04-24,TA_16957,Tarnstead,E. coli,0,Orgs/100mL
611952,2069-04-24,SW_17048,Swadlincote,E. coli,0,Orgs/100mL
674286,2069-04-24,SN_11009,Snake's Canyon,THM,0.004,mg/L
638265,2069-04-24,TA_16957,Tarnstead,THM,0.002,mg/L
677384,2069-04-24,SO_17522,Southwold,Turbidity,0.3,NTU
646874,2069-04-24,ME_12236,Merton,Turbidity,0.2,NTU
660875,2069-04-24,TA_16957,Tarnstead,Turbidity,0.2,NTU
698661,2069-04-24,SW_17048,Swadlincote,Turbidity,0.2,NTU
699893,2069-04-24,SN_11009,Snake's Canyon,Turbidity,0.1,NTU
646327,2069-04-24,WA_11283,Wakefield,Turbidity,0.1,NTU
639043,2069-04-27,BL_12796,Blancathey,Chlorine Total,0.99,mg/L
619760,2069-04-27,BL_12796,Blancathey,E. coli,0,Orgs/100mL
685148,2069-04-27,BL_12796,Blancathey,Turbidity,0.1,NTU
661930,2069-05-01,WA_11512,Wakefield,Chlorine Total,1.66,mg/L
616081,2069-05-01,SN_12633,Snake's Canyon,Chlorine Total,1.02,mg/L
674237,2069-05-01,SO_18289,Southwold,Chlorine Total,0.51,mg/L
692499,2069-05-01,TA_19639,Tarnstead,Chlorine Total,0.15,mg/L
603275,2069-05-01,ME_19428,Merton,Chlorine Total,0.025,mg/L
608031,2069-05-01,SW_15551,Swadlincote,Chlorine Total,0.025,mg/L
635663,2069-05-01,SO_18289,Southwold,E. coli,0,Orgs/100mL
617369,2069-05-01,ME_19428,Merton,E. coli,0,Orgs/100mL
626582,2069-05-01,WA_11512,Wakefield,E. coli,0,Orgs/100mL
635806,2069-05-01,SN_12633,Snake's Canyon,E. coli,0,Orgs/100mL
649619,2069-05-01,SW_15551,Swadlincote,E. coli,0,Orgs/100mL
605583,2069-05-01,TA_19639,Tarnstead,E. coli,0,Orgs/100mL
644693,2069-05-01,WA_11512,Wakefield,THM,0.003,mg/L
676792,2069-05-01,TA_19639,Tarnstead,Turbidity,3.03,NTU
679166,2069-05-01,SO_18289,Southwold,Turbidity,0.2,NTU
686895,2069-05-01,ME_19428,Merton,Turbidity,0.2,NTU
626678,2069-05-01,SN_12633,Snake's Canyon,Turbidity,0.2,NTU
625471,2069-05-01,SW_15551,Swadlincote,Turbidity,0.2,NTU
601197,2069-05-01,WA_11512,Wakefield,Turbidity,0.1,NTU
691457,2069-05-03,BL_10027,Blancathey,Chlorine Total,0.98,mg/L
604000,2069-05-03,BL_10027,Blancathey,E. coli,0,Orgs/100mL
652657,2069-05-03,BL_10027,Blancathey,Turbidity,0.2,NTU
621246,2069-05-08,WA_11471,Wakefield,Chlorine Total,1.54,mg/L
667262,2069-05-08,SN_11009,Snake's Canyon,Chlorine Total,1.15,mg/L
671006,2069-05-08,WA_12344,Wakefield,Chlorine Total,0.68,mg/L
677352,2069-05-08,ME_15385,Merton,Chlorine Total,0.28,mg/L
626098,2069-05-08,SW_14121,Swadlincote,Chlorine Total,0.05,mg/L
652394,2069-05-08,SO_13252,Southwold,Chlorine Total,0.025,mg/L
619949,2069-05-08,TA_18683,Tarnstead,Chlorine Total,0.025,mg/L
670906,2069-05-08,SN_11009,Snake's Canyon,E. coli,0,Orgs/100mL
620428,2069-05-08,WA_11471,Wakefield,E. coli,0,Orgs/100mL
649764,2069-05-08,ME_15385,Merton,E. coli,0,Orgs/100mL
604237,2069-05-08,WA_12344,Wakefield,E. coli,0,Orgs/100mL
650777,2069-05-08,SO_13252,Southwold,E. coli,0,Orgs/100mL
692687,2069-05-08,TA_18683,Tarnstead,E. coli,0,Orgs/100mL
610640,2069-05-08,SW_14121,Swadlincote,E. coli,0,Orgs/100mL
650847,2069-05-08,ME_15385,Merton,THM,0.006,mg/L
615076,2069-05-08,WA_12344,Wakefield,Turbidity,0.2,NTU
695244,2069-05-08,SO_13252,Southwold,Turbidity,0.2,NTU
625825,2069-05-08,SW_14121,Swadlincote,Turbidity,0.2,NTU
630775,2069-05-08,SN_11009,Snake's Canyon,Turbidity,0.1,NTU
615511,2069-05-08,ME_15385,Merton,Turbidity,0.1,NTU
629439,2069-05-08,TA_18683,Tarnstead,Turbidity,0.1,NTU
609342,2069-05-10,BL_15407,Blancathey,Chlorine Total,1.23,mg/L
638377,2069-05-10,BL_15407,Blancathey,E. coli,0,Orgs/100mL
616402,2069-05-10,BL_15407,Blancathey,THM,0.005,mg/L
625015,2069-05-10,BL_15407,Blancathey,Turbidity,0.1,NTU
685402,2069-05-15,WA_16411,Wakefield,Chlorine Total,1.81,mg/L
685926,2069-05-15,SO_12771,Southwold,Chlorine Total,0.99,mg/L
699944,2069-05-15,SN_10238,Snake's Canyon,Chlorine Total,0.67,mg/L
635569,2069-05-15,ME_12236,Merton,Chlorine Total,0.53,mg/L
677603,2069-05-15,SW_15541,Swadlincote,Chlorine Total,0.025,mg/L
655408,2069-05-15,TA_18370,Tarnstead,Chlorine Total,0.025,mg/L
689171,2069-05-15,WA_16411,Wakefield,E. coli,0,Orgs/100mL
697338,2069-05-15,ME_12236,Merton,E. coli,0,Orgs/100mL
625144,2069-05-15,SN_10238,Snake's Canyon,E. coli,0,Orgs/100mL
663182,2069-05-15,SW_15541,Swadlincote,E. coli,0,Orgs/100mL
630043,2069-05-15,SO_12771,Southwold,E. coli,0,Orgs/100mL
644453,2069-05-15,TA_18370,Tarnstead,E. coli,0,Orgs/100mL
675572,2069-05-15,SW_15541,Swadlincote,THM,0.01,mg/L
697452,2069-05-15,SO_12771,Southwold,THM,0.006,mg/L
623113,2069-05-15,ME_12236,Merton,Turbidity,0.3,NTU
679930,2069-05-15,WA_16411,Wakefield,Turbidity,0.2,NTU
671811,2069-05-15,SW_15541,Swadlincote,Turbidity,0.2,NTU
621440,2069-05-15,TA_18370,Tarnstead,Turbidity,0.2,NTU
629414,2069-05-15,SN_10238,Snake's Canyon,Turbidity,0.1,NTU
651373,2069-05-15,SO_12771,Southwold,Turbidity,0.1,NTU
653243,2069-05-17,BL_15694,Blancathey,Chlorine Total,1.28,mg/L
683596,2069-05-17,BL_15694,Blancathey,E. coli,0,Orgs/100mL
638344,2069-05-17,BL_15694,Blancathey,Turbidity,0.2,NTU
619024,2069-05-22,SN_19642,Snake's Canyon,Chlorine Total,1.01,mg/L
603036,2069-05-22,SO_12411,Southwold,Chlorine Total,0.79,mg/L
660980,2069-05-22,ME_14915,Merton,Chlorine Total,0.18,mg/L
659607,2069-05-22,SW_17608,Swadlincote,Chlorine Total,0.08,mg/L
693913,2069-05-22,TA_15138,Tarnstead,Chlorine Total,0.025,mg/L
666992,2069-05-22,WA_11938,Wakefield,Chlorine Total,0.025,mg/L
665010,2069-05-22,TA_15138,Tarnstead,E. coli,0,Orgs/100mL
653076,2069-05-22,SO_12411,Southwold,E. coli,0,Orgs/100mL
615395,2069-05-22,ME_14915,Merton,E. coli,0,Orgs/100mL
682009,2069-05-22,SW_17608,Swadlincote,E. coli,0,Orgs/100mL
629141,2069-05-22,SN_19642,Snake's Canyon,E. coli,0,Orgs/100mL
668015,2069-05-22,WA_11938,Wakefield,E. coli,0,Orgs/100mL
630516,2069-05-22,SN_19642,Snake's Canyon,THM,0.005,mg/L
604854,2069-05-22,TA_15138,Tarnstead,THM,0.003,mg/L
689049,2069-05-22,SO_12411,Southwold,Turbidity,0.2,NTU
661726,2069-05-22,ME_14915,Merton,Turbidity,0.2,NTU
673951,2069-05-22,SW_17608,Swadlincote,Turbidity,0.2,NTU
651950,2069-05-22,WA_11938,Wakefield,Turbidity,0.2,NTU
662177,2069-05-22,TA_15138,Tarnstead,Turbidity,0.1,NTU
661614,2069-05-22,SN_19642,Snake's Canyon,Turbidity,0.1,NTU
678681,2069-05-24,BL_11064,Blancathey,Chlorine Total,1.58,mg/L
624247,2069-05-24,BL_11064,Blancathey,E. coli,0,Orgs/100mL
672162,2069-05-24,BL_11064,Blancathey,Turbidity,0.1,NTU
691194,2069-05-29,SO_17995,Southwold,Chlorine Total,0.95,mg/L
673026,2069-05-29,WA_17036,Wakefield,Chlorine Total,0.69,mg/L
607992,2069-05-29,SN_12633,Snake's Canyon,Chlorine Total,0.51,mg/L
635865,2069-05-29,ME_19428,Merton,Chlorine Total,0.32,mg/L
648853,2069-05-29,SW_14500,Swadlincote,Chlorine Total,0.07,mg/L
661970,2069-05-29,TA_16763,Tarnstead,Chlorine Total,0.025,mg/L
604718,2069-05-29,TA_16763,Tarnstead,E. coli,0,Orgs/100mL
676477,2069-05-29,ME_19428,Merton,E. coli,0,Orgs/100mL
613446,2069-05-29,SW_14500,Swadlincote,E. coli,0,Orgs/100mL
600358,2069-05-29,SN_12633,Snake's Canyon,E. coli,0,Orgs/100mL
651502,2069-05-29,WA_17036,Wakefield,E. coli,0,Orgs/100mL
621677,2069-05-29,SO_17995,Southwold,E. coli,0,Orgs/100mL
642272,2069-05-29,ME_19428,Merton,Turbidity,0.4,NTU
639980,2069-05-29,TA_16763,Tarnstead,Turbidity,0.2,NTU
656063,2069-05-29,SW_14500,Swadlincote,Turbidity,0.2,NTU
610710,2069-05-29,SN_12633,Snake's Canyon,Turbidity,0.2,NTU
677006,2069-05-29,WA_17036,Wakefield,Turbidity,0.2,NTU
613639,2069-05-29,SO_17995,Southwold,Turbidity,0.1,NTU
678342,2069-06-01,BL_19383,Blancathey,Chlorine Total,1.71,mg/L
698444,2069-06-01,BL_19383,Blancathey,E. coli,0,Orgs/100mL
655624,2069-06-01,BL_19383,Blancathey,Turbidity,0.1,NTU
638170,2069-06-05,WA_13998,Wakefield,Chlorine Total,1.81,mg/L
608161,2069-06-05,WA_16258,Wakefield,Chlorine Total,1.46,mg/L
653756,2069-06-05,SN_19642,Snake's Canyon,Chlorine Total,0.93,mg/L
674674,2069-06-05,SO_13001,Southwold,Chlorine Total,0.83,mg/L
639414,2069-06-05,SW_14394,Swadlincote,Chlorine Total,0.26,mg/L
693894,2069-06-05,TA_13630,Tarnstead,Chlorine Total,0.18,mg/L
604886,2069-06-05,ME_15385,Merton,Chlorine Total,0.1,mg/L
644927,2069-06-05,SO_13001,Southwold,E. coli,0,Orgs/100mL
671382,2069-06-05,ME_15385,Merton,E. coli,0,Orgs/100mL
691130,2069-06-05,SN_19642,Snake's Canyon,E. coli,0,Orgs/100mL
683115,2069-06-05,SW_14394,Swadlincote,E. coli,0,Orgs/100mL
650421,2069-06-05,TA_13630,Tarnstead,E. coli,0,Orgs/100mL
696584,2069-06-05,WA_13998,Wakefield,E. coli,0,Orgs/100mL
666655,2069-06-05,WA_16258,Wakefield,E. coli,0,Orgs/100mL
653074,2069-06-05,SO_13001,Southwold,Turbidity,0.2,NTU
618019,2069-06-05,SW_14394,Swadlincote,Turbidity,0.2,NTU
649011,2069-06-05,TA_13630,Tarnstead,Turbidity,0.2,NTU
653844,2069-06-05,WA_13998,Wakefield,Turbidity,0.2,NTU
671310,2069-06-05,ME_15385,Merton,Turbidity,0.1,NTU
665345,2069-06-05,SN_19642,Snake's Canyon,Turbidity,0.1,NTU
664684,2069-06-07,BL_10901,Blancathey,Chlorine Total,1.24,mg/L
655288,2069-06-07,BL_10901,Blancathey,E. coli,0,Orgs/100mL
690649,2069-06-07,BL_10901,Blancathey,THM,0.005,mg/L
616439,2069-06-07,BL_10901,Blancathey,Turbidity,0.2,NTU
617738,2069-06-13,SN_11009,Snake's Canyon,Chlorine Total,0.86,mg/L
681256,2069-06-13,SO_15923,Southwold,Chlorine Total,0.26,mg/L
668704,2069-06-13,WA_10539,Wakefield,Chlorine Total,0.26,mg/L
692077,2069-06-13,ME_14915,Merton,Chlorine Total,0.1,mg/L
634466,2069-06-13,SW_10228,Swadlincote,Chlorine Total,0.09,mg/L
614456,2069-06-13,TA_13119,Tarnstead,Chlorine Total,0.07,mg/L
606627,2069-06-13,SO_15923,Southwold,E. coli,1,Orgs/100mL
668668,2069-06-13,SN_11009,Snake's Canyon,E. coli,0,Orgs/100mL
631975,2069-06-13,TA_13119,Tarnstead,E. coli,0,Orgs/100mL
637379,2069-06-13,SW_10228,Swadlincote,E. coli,0,Orgs/100mL
647526,2069-06-13,ME_14915,Merton,E. coli,0,Orgs/100mL
690820,2069-06-13,WA_10539,Wakefield,E. coli,0,Orgs/100mL
610570,2069-06-13,SW_10228,Swadlincote,THM,0.01,mg/L
603260,2069-06-13,ME_14915,Merton,THM,0.005,mg/L
617409,2069-06-13,SO_15923,Southwold,THM,0.005,mg/L
690054,2069-06-13,TA_13119,Tarnstead,Turbidity,8.14,NTU
625016,2069-06-13,WA_10539,Wakefield,Turbidity,0.2,NTU
641004,2069-06-13,SN_11009,Snake's Canyon,Turbidity,0.1,NTU
668834,2069-06-13,SW_10228,Swadlincote,Turbidity,0.1,NTU
621365,2069-06-13,ME_14915,Merton,Turbidity,0.1,NTU
606617,2069-06-13,SO_15923,Southwold,Turbidity,0.1,NTU
646551,2069-06-15,BL_11246,Blancathey,Chlorine Total,0.9,mg/L
671434,2069-06-15,BL_11246,Blancathey,E. coli,0,Orgs/100mL
676366,2069-06-15,BL_11246,Blancathey,Turbidity,0.2,NTU
607109,2069-06-19,WA_19229,Wakefield,Chlorine Total,1.74,mg/L
683177,2069-06-19,SO_17522,Southwold,Chlorine Total,0.88,mg/L
640867,2069-06-19,SN_19642,Snake's Canyon,Chlorine Total,0.8,mg/L
648356,2069-06-19,SW_10733,Swadlincote,Chlorine Total,0.11,mg/L
685380,2069-06-19,TA_18826,Tarnstead,Chlorine Total,0.1,mg/L
638268,2069-06-19,ME_12236,Merton,Chlorine Total,0.025,mg/L
612879,2069-06-19,TA_18826,Tarnstead,E. coli,0,Orgs/100mL
601617,2069-06-19,ME_12236,Merton,E. coli,0,Orgs/100mL
695541,2069-06-19,SN_19642,Snake's Canyon,E. coli,0,Orgs/100mL
620159,2069-06-19,SO_17522,Southwold,E. coli,0,Orgs/100mL
666643,2069-06-19,SW_10733,Swadlincote,E. coli,0,Orgs/100mL
620542,2069-06-19,WA_19229,Wakefield,E. coli,0,Orgs/100mL
687380,2069-06-19,TA_18826,Tarnstead,THM,0.005,mg/L
688059,2069-06-19,WA_19229,Wakefield,THM,0.003,mg/L
634363,2069-06-19,SO_17522,Southwold,Turbidity,0.3,NTU
682696,2069-06-19,TA_18826,Tarnstead,Turbidity,0.2,NTU
671628,2069-06-19,ME_12236,Merton,Turbidity,0.2,NTU
602481,2069-06-19,SN_19642,Snake's Canyon,Turbidity,0.2,NTU
688776,2069-06-19,SW_10733,Swadlincote,Turbidity,0.2,NTU
657842,2069-06-19,WA_19229,Wakefield,Turbidity,0.1,NTU
606561,2069-06-22,BL_10984,Blancathey,Chlorine Total,1.29,mg/L
634662,2069-06-22,BL_10984,Blancathey,E. coli,0,Orgs/100mL
699262,2069-06-22,BL_10984,Blancathey,Turbidity,0.05,NTU
612574,2069-06-26,SN_10238,Snake's Canyon,Chlorine Total,0.81,mg/L
616959,2069-06-26,SO_16361,Southwold,Chlorine Total,0.68,mg/L
643567,2069-06-26,WA_15863,Wakefield,Chlorine Total,0.6,mg/L
637268,2069-06-26,ME_15385,Merton,Chlorine Total,0.33,mg/L
685821,2069-06-26,SW_17048,Swadlincote,Chlorine Total,0.19,mg/L
622003,2069-06-26,TA_16957,Tarnstead,Chlorine Total,0.07,mg/L
611172,2069-06-26,SO_16361,Southwold,E. coli,0,Orgs/100mL
635732,2069-06-26,ME_15385,Merton,E. coli,0,Orgs/100mL
603452,2069-06-26,WA_15863,Wakefield,E. coli,0,Orgs/100mL
608202,2069-06-26,SN_10238,Snake's Canyon,E. coli,0,Orgs/100mL
661764,2069-06-26,TA_16957,Tarnstead,E. coli,0,Orgs/100mL
630136,2069-06-26,SW_17048,Swadlincote,E. coli,0,Orgs/100mL
624628,2069-06-26,SN_10238,Snake's Canyon,THM,0.003,mg/L
653372,2069-06-26,SO_16361,Southwold,Turbidity,0.1,NTU
697696,2069-06-26,ME_15385,Merton,Turbidity,0.05,NTU
691303,2069-06-26,WA_15863,Wakefield,Turbidity,0.05,NTU
666923,2069-06-26,SN_10238,Snake's Canyon,Turbidity,0.05,NTU
608241,2069-06-26,TA_16957,Tarnstead,Turbidity,0.05,NTU
606040,2069-06-26,SW_17048,Swadlincote,Turbidity,0.05,NTU
643602,2069-06-28,BL_12796,Blancathey,Chlorine Total,1.04,mg/L
617820,2069-06-28,BL_12796,Blancathey,E. coli,0,Orgs/100mL
637711,2069-06-28,BL_12796,Blancathey,Turbidity,0.05,NTU
605803,2069-07-03,WA_12574,Wakefield,Chlorine Total,1.87,mg/L
672673,2069-07-03,WA_14286,Wakefield,Chlorine Total,1.36,mg/L
646192,2069-07-03,TA_19639,Tarnstead,Chlorine Total,1.06,mg/L
619714,2069-07-03,SO_18289,Southwold,Chlorine Total,0.77,mg/L
626801,2069-07-03,SN_12633,Snake's Canyon,Chlorine Total,0.65,mg/L
694208,2069-07-03,ME_14915,Merton,Chlorine Total,0.32,mg/L
617331,2069-07-03,SW_15551,Swadlincote,Chlorine Total,0.08,mg/L
682165,2069-07-03,SO_18289,Southwold,E. coli,0,Orgs/100mL
683225,2069-07-03,WA_14286,Wakefield,E. coli,0,Orgs/100mL
656398,2069-07-03,ME_14915,Merton,E. coli,0,Orgs/100mL
655664,2069-07-03,SN_12633,Snake's Canyon,E. coli,0,Orgs/100mL
648567,2069-07-03,WA_12574,Wakefield,E. coli,0,Orgs/100mL
661814,2069-07-03,SW_15551,Swadlincote,E. coli,0,Orgs/100mL
620840,2069-07-03,TA_19639,Tarnstead,E. coli,0,Orgs/100mL
673424,2069-07-03,WA_12574,Wakefield,THM,0.003,mg/L
677464,2069-07-03,TA_19639,Tarnstead,THM,0.002,mg/L
622008,2069-07-03,SN_12633,Snake's Canyon,THM,0.0005,mg/L
638193,2069-07-03,SO_18289,Southwold,Turbidity,0.1,NTU
631275,2069-07-03,SN_12633,Snake's Canyon,Turbidity,0.1,NTU
616878,2069-07-03,WA_12574,Wakefield,Turbidity,0.1,NTU
616498,2069-07-03,ME_14915,Merton,Turbidity,0.05,NTU
652498,2069-07-03,SW_15551,Swadlincote,Turbidity,0.05,NTU
668955,2069-07-03,TA_19639,Tarnstead,Turbidity,0.05,NTU
613098,2069-07-05,BL_10027,Blancathey,Chlorine Total,1.01,mg/L
613587,2069-07-05,BL_10027,Blancathey,E. coli,0,Orgs/100mL
634633,2069-07-05,BL_10027,Blancathey,Turbidity,0.05,NTU
626520,2069-07-10,WA_11283,Wakefield,Chlorine Total,1.63,mg/L
657919,2069-07-10,SN_11009,Snake's Canyon,Chlorine Total,0.92,mg/L
693902,2069-07-10,SO_13252,Southwold,Chlorine Total,0.57,mg/L
669390,2069-07-10,TA_18683,Tarnstead,Chlorine Total,0.13,mg/L
680969,2069-07-10,ME_12236,Merton,Chlorine Total,0.11,mg/L
651939,2069-07-10,SW_14121,Swadlincote,Chlorine Total,0.06,mg/L
684818,2069-07-10,SN_11009,Snake's Canyon,E. coli,0,Orgs/100mL
600857,2069-07-10,ME_12236,Merton,E. coli,0,Orgs/100mL
661232,2069-07-10,SO_13252,Southwold,E. coli,0,Orgs/100mL
638472,2069-07-10,TA_18683,Tarnstead,E. coli,0,Orgs/100mL
695171,2069-07-10,SW_14121,Swadlincote,E. coli,0,Orgs/100mL
610161,2069-07-10,WA_11283,Wakefield,E. coli,0,Orgs/100mL
602003,2069-07-10,SW_14121,Swadlincote,THM,0.007,mg/L
601018,2069-07-10,SO_13252,Southwold,THM,0.004,mg/L
624433,2069-07-10,SN_11009,Snake's Canyon,Turbidity,0.1,NTU
641924,2069-07-10,ME_12236,Merton,Turbidity,0.1,NTU
637675,2069-07-10,SW_14121,Swadlincote,Turbidity,0.1,NTU
677908,2069-07-10,WA_11283,Wakefield,Turbidity,0.1,NTU
619792,2069-07-10,SO_13252,Southwold,Turbidity,0.05,NTU
623675,2069-07-10,TA_18683,Tarnstead,Turbidity,0.05,NTU
649035,2069-07-12,BL_15407,Blancathey,Chlorine Total,1.07,mg/L
620435,2069-07-12,BL_15407,Blancathey,E. coli,0,Orgs/100mL
661260,2069-07-12,BL_15407,Blancathey,Turbidity,0.05,NTU
623978,2069-07-17,WA_11512,Wakefield,Chlorine Total,1.57,mg/L
682499,2069-07-17,SO_12771,Southwold,Chlorine Total,0.74,mg/L
681854,2069-07-17,SN_19642,Snake's Canyon,Chlorine Total,0.69,mg/L
671660,2069-07-17,ME_19428,Merton,Chlorine Total,0.24,mg/L
635734,2069-07-17,TA_18370,Tarnstead,Chlorine Total,0.17,mg/L
652857,2069-07-17,SW_15541,Swadlincote,Chlorine Total,0.08,mg/L
611796,2069-07-17,ME_19428,Merton,E. coli,0,Orgs/100mL
635168,2069-07-17,WA_11512,Wakefield,E. coli,0,Orgs/100mL
614841,2069-07-17,SN_19642,Snake's Canyon,E. coli,0,Orgs/100mL
674056,2069-07-17,SW_15541,Swadlincote,E. coli,0,Orgs/100mL
689981,2069-07-17,SO_12771,Southwold,E. coli,0,Orgs/100mL
643762,2069-07-17,TA_18370,Tarnstead,E. coli,0,Orgs/100mL
629496,2069-07-17,ME_19428,Merton,THM,0.003,mg/L
698808,2069-07-17,TA_18370,Tarnstead,Turbidity,6.1,NTU
692016,2069-07-17,ME_19428,Merton,Turbidity,0.05,NTU
659599,2069-07-17,WA_11512,Wakefield,Turbidity,0.05,NTU
697069,2069-07-17,SN_19642,Snake's Canyon,Turbidity,0.05,NTU
611004,2069-07-17,SW_15541,Swadlincote,Turbidity,0.05,NTU
631565,2069-07-17,SO_12771,Southwold,Turbidity,0.05,NTU
687272,2069-07-19,BL_15694,Blancathey,Chlorine Total,1.48,mg/L
610240,2069-07-19,BL_15694,Blancathey,E. coli,0,Orgs/100mL
655266,2069-07-19,BL_15694,Blancathey,Turbidity,0.05,NTU
611171,2069-07-24,WA_11471,Wakefield,Chlorine Total,1.63,mg/L
666659,2069-07-24,SN_10238,Snake's Canyon,Chlorine Total,0.36,mg/L
643228,2069-07-24,TA_15138,Tarnstead,Chlorine Total,0.19,mg/L
686517,2069-07-24,SO_12411,Southwold,Chlorine Total,0.16,mg/L
689783,2069-07-24,SW_17608,Swadlincote,Chlorine Total,0.07,mg/L
666698,2069-07-24,ME_12236,Merton,Chlorine Total,0.06,mg/L
663672,2069-07-24,WA_11471,Wakefield,E. coli,0,Orgs/100mL
639512,2069-07-24,TA_15138,Tarnstead,E. coli,0,Orgs/100mL
631867,2069-07-24,SO_12411,Southwold,E. coli,0,Orgs/100mL
644266,2069-07-24,ME_12236,Merton,E. coli,0,Orgs/100mL
687529,2069-07-24,SW_17608,Swadlincote,E. coli,0,Orgs/100mL
614844,2069-07-24,SN_10238,Snake's Canyon,E. coli,0,Orgs/100mL
678572,2069-07-24,SO_12411,Southwold,Turbidity,0.2,NTU
691929,2069-07-24,WA_11471,Wakefield,Turbidity,0.1,NTU
605349,2069-07-24,TA_15138,Tarnstead,Turbidity,0.05,NTU
638750,2069-07-24,ME_12236,Merton,Turbidity,0.05,NTU
686797,2069-07-24,SW_17608,Swadlincote,Turbidity,0.05,NTU
693641,2069-07-24,SN_10238,Snake's Canyon,Turbidity,0.05,NTU
655844,2069-07-26,BL_11064,Blancathey,Chlorine Total,1.07,mg/L
635105,2069-07-26,BL_11064,Blancathey,E. coli,0,Orgs/100mL
685167,2069-07-26,BL_11064,Blancathey,THM,0.004,mg/L
603798,2069-07-26,BL_11064,Blancathey,Turbidity,8.01,NTU
681751,2069-07-31,WA_12344,Wakefield,Chlorine Total,1.35,mg/L
648585,2069-07-31,SO_17995,Southwold,Chlorine Total,0.72,mg/L
673231,2069-07-31,TA_16763,Tarnstead,Chlorine Total,0.43,mg/L
642426,2069-07-31,SW_14500,Swadlincote,Chlorine Total,0.14,mg/L
657762,2069-07-31,ME_16234,Merton,Chlorine Total,0.025,mg/L
679462,2069-07-31,SN_16059,Snake's Canyon,Chlorine Total,0.025,mg/L
683446,2069-07-31,ME_16234,Merton,E. coli,0,Orgs/100mL
608675,2069-07-31,SN_16059,Snake's Canyon,E. coli,0,Orgs/100mL
664659,2069-07-31,TA_16763,Tarnstead,E. coli,0,Orgs/100mL
657436,2069-07-31,WA_12344,Wakefield,E. coli,0,Orgs/100mL
614716,2069-07-31,SW_14500,Swadlincote,E. coli,0,Orgs/100mL
632356,2069-07-31,SO_17995,Southwold,E. coli,0,Orgs/100mL
642975,2069-07-31,SN_16059,Snake's Canyon,Turbidity,0.1,NTU
664704,2069-07-31,TA_16763,Tarnstead,Turbidity,0.1,NTU
648627,2069-07-31,SW_14500,Swadlincote,Turbidity,0.1,NTU
609772,2069-07-31,ME_16234,Merton,Turbidity,0.05,NTU
626906,2069-07-31,WA_12344,Wakefield,Turbidity,0.05,NTU
687936,2069-07-31,SO_17995,Southwold,Turbidity,0.05,NTU
614070,2069-08-02,BL_19383,Blancathey,Chlorine Total,1.09,mg/L
652870,2069-08-02,BL_19383,Blancathey,E. coli,0,Orgs/100mL
685374,2069-08-02,BL_19383,Blancathey,Turbidity,0.1,NTU
619375,2069-08-07,WA_16411,Wakefield,Chlorine Total,1.88,mg/L
635768,2069-08-07,SO_13001,Southwold,Chlorine Total,0.45,mg/L
632547,2069-08-07,WA_11938,Wakefield,Chlorine Total,0.42,mg/L
649291,2069-08-07,SW_14394,Swadlincote,Chlorine Total,0.1,mg/L
615486,2069-08-07,TA_13630,Tarnstead,Chlorine Total,0.07,mg/L
674879,2069-08-07,ME_15385,Merton,Chlorine Total,0.05,mg/L
667868,2069-08-07,SN_15191,Snake's Canyon,Chlorine Total,0.025,mg/L
654829,2069-08-07,SO_13001,Southwold,E. coli,0,Orgs/100mL
696182,2069-08-07,WA_16411,Wakefield,E. coli,0,Orgs/100mL
653644,2069-08-07,ME_15385,Merton,E. coli,0,Orgs/100mL
663938,2069-08-07,SW_14394,Swadlincote,E. coli,0,Orgs/100mL
686547,2069-08-07,TA_13630,Tarnstead,E. coli,0,Orgs/100mL
667220,2069-08-07,SN_15191,Snake's Canyon,E. coli,0,Orgs/100mL
637503,2069-08-07,WA_11938,Wakefield,E. coli,0,Orgs/100mL
648231,2069-08-07,SW_14394,Swadlincote,THM,0.011,mg/L
608591,2069-08-07,TA_13630,Tarnstead,THM,0.003,mg/L
690233,2069-08-07,SN_15191,Snake's Canyon,THM,0.003,mg/L
697443,2069-08-07,WA_16411,Wakefield,Turbidity,0.2,NTU
602329,2069-08-07,SW_14394,Swadlincote,Turbidity,0.2,NTU
629354,2069-08-07,TA_13630,Tarnstead,Turbidity,0.2,NTU
603421,2069-08-07,SO_13001,Southwold,Turbidity,0.1,NTU
